Dia,Produto,QTDITEM
1,CERVEJA BAVARIA 350ML LATA,9
1,CERVEJA BOHEMIA LATA 350ML,498
1,CERVEJA ITAIPAVA LATA 350ML,1465
1,CERVEJA SKOL 350ML LATA,1906
2,CERVEJA BOHEMIA LATA 350ML,184
2,CERVEJA ITAIPAVA LATA 350ML,494
2,CERVEJA SKOL 350ML LATA,699
3,CERVEJA BAVARIA 350ML LATA,16
3,CERVEJA BOHEMIA LATA 350ML,503
3,CERVEJA ITAIPAVA LATA 350ML,674
3,CERVEJA SKOL 350ML LATA,1121
4,CERVEJA BAVARIA 350ML LATA,10
4,CERVEJA BOHEMIA LATA 350ML,775
4,CERVEJA ITAIPAVA LATA 350ML,1120
4,CERVEJA SKOL 350ML LATA,2906
5,CERVEJA BAVARIA 350ML LATA,14
5,CERVEJA BOHEMIA LATA 350ML,371
5,CERVEJA ITAIPAVA LATA 350ML,1057
5,CERVEJA SKOL 350ML LATA,1802
6,CERVEJA BOHEMIA LATA 350ML,28
6,CERVEJA ITAIPAVA LATA 350ML,173
6,CERVEJA SKOL 350ML LATA,114
7,CERVEJA BAVARIA 350ML LATA,16
7,CERVEJA BOHEMIA LATA 350ML,18
7,CERVEJA ITAIPAVA LATA 350ML,182
7,CERVEJA SKOL 350ML LATA,108
8,CERVEJA BOHEMIA LATA 350ML,16
8,CERVEJA ITAIPAVA LATA 350ML,395
8,CERVEJA SKOL 350ML LATA,198
9,CERVEJA BOHEMIA LATA 350ML,122
9,CERVEJA ITAIPAVA LATA 350ML,251
9,CERVEJA SKOL 350ML LATA,387
10,CERVEJA BOHEMIA LATA 350ML,427
10,CERVEJA ITAIPAVA LATA 350ML,436
10,CERVEJA SKOL 350ML LATA,1213
11,CERVEJA BOHEMIA LATA 350ML,578
11,CERVEJA ITAIPAVA LATA 350ML,1560
11,CERVEJA SKOL 350ML LATA,2574
12,CERVEJA BAVARIA 350ML LATA,13
12,CERVEJA BOHEMIA LATA 350ML,471
12,CERVEJA ITAIPAVA LATA 350ML,1706
12,CERVEJA SKOL 350ML LATA,2316
13,CERVEJA BOHEMIA LATA 350ML,9
13,CERVEJA ITAIPAVA LATA 350ML,123
13,CERVEJA SKOL 350ML LATA,103
14,CERVEJA BAVARIA 350ML LATA,1
14,CERVEJA BOHEMIA LATA 350ML,13
14,CERVEJA ITAIPAVA LATA 350ML,123
14,CERVEJA SKOL 350ML LATA,88
15,CERVEJA BAVARIA 350ML LATA,12
15,CERVEJA BOHEMIA LATA 350ML,21
15,CERVEJA ITAIPAVA LATA 350ML,280
15,CERVEJA SKOL 350ML LATA,149
16,CERVEJA BAVARIA 350ML LATA,4
16,CERVEJA BOHEMIA LATA 350ML,20
16,CERVEJA ITAIPAVA LATA 350ML,205
16,CERVEJA SKOL 350ML LATA,216
17,CERVEJA BAVARIA 350ML LATA,6
17,CERVEJA BOHEMIA LATA 350ML,55
17,CERVEJA ITAIPAVA LATA 350ML,600
17,CERVEJA SKOL 350ML LATA,761
18,CERVEJA BAVARIA 350ML LATA,3
18,CERVEJA BOHEMIA LATA 350ML,184
18,CERVEJA ITAIPAVA LATA 350ML,1269
18,CERVEJA SKOL 350ML LATA,1114
19,CERVEJA BAVARIA 350ML LATA,22
19,CERVEJA BOHEMIA LATA 350ML,239
19,CERVEJA ITAIPAVA LATA 350ML,1041
19,CERVEJA SKOL 350ML LATA,1015
20,CERVEJA BOHEMIA LATA 350ML,8
20,CERVEJA ITAIPAVA LATA 350ML,151
20,CERVEJA SKOL 350ML LATA,27
21,CERVEJA BOHEMIA LATA 350ML,14
21,CERVEJA ITAIPAVA LATA 350ML,206
21,CERVEJA SKOL 350ML LATA,121
22,CERVEJA BOHEMIA LATA 350ML,33
22,CERVEJA ITAIPAVA LATA 350ML,363
22,CERVEJA SKOL 350ML LATA,146
23,CERVEJA BAVARIA 350ML LATA,4
23,CERVEJA BOHEMIA LATA 350ML,209
23,CERVEJA ITAIPAVA LATA 350ML,404
23,CERVEJA SKOL 350ML LATA,280
24,CERVEJA BAVARIA 350ML LATA,5
24,CERVEJA BOHEMIA LATA 350ML,308
24,CERVEJA ITAIPAVA LATA 350ML,1703
24,CERVEJA SKOL 350ML LATA,493
25,CERVEJA BAVARIA 350ML LATA,7
25,CERVEJA BOHEMIA LATA 350ML,428
25,CERVEJA ITAIPAVA LATA 350ML,1920
25,CERVEJA SKOL 350ML LATA,957
26,CERVEJA BAVARIA 350ML LATA,5
26,CERVEJA BOHEMIA LATA 350ML,348
26,CERVEJA ITAIPAVA LATA 350ML,1058
26,CERVEJA SKOL 350ML LATA,860
27,CERVEJA BOHEMIA LATA 350ML,42
27,CERVEJA ITAIPAVA LATA 350ML,255
27,CERVEJA SKOL 350ML LATA,54
28,CERVEJA BAVARIA 350ML LATA,2
28,CERVEJA BOHEMIA LATA 350ML,46
28,CERVEJA ITAIPAVA LATA 350ML,175
28,CERVEJA SKOL 350ML LATA,144
29,CERVEJA BAVARIA 350ML LATA,18
29,CERVEJA BOHEMIA LATA 350ML,133
29,CERVEJA ITAIPAVA LATA 350ML,387
29,CERVEJA SKOL 350ML LATA,116
30,CERVEJA BAVARIA 350ML LATA,4
30,CERVEJA BOHEMIA LATA 350ML,165
30,CERVEJA ITAIPAVA LATA 350ML,409
30,CERVEJA SKOL 350ML LATA,152
31,CERVEJA BAVARIA 350ML LATA,2
31,CERVEJA BOHEMIA LATA 350ML,379
31,CERVEJA ITAIPAVA LATA 350ML,862
31,CERVEJA SKOL 350ML LATA,1341
