,support,d1, d2, length
5,0.00015945402940332302,"ACUCAR CRISTAL PINDORAMA 1KG", "ALIM COMP PO ITAMBE PRECIOSO 200'",2
6,0.00015945402940332302,"ACUCAR CRISTAL PINDORAMA 1KG", "CAFE TORRADO STA CLARA 250G PREMIUM VACU'",2
12,0.00019134483528398762,"AGUA MINERAL CRYSTAL 500ML C GAS PE", "SELF SERVICE  K'",2
14,0.00035079886468731067,"AGUA MINERAL CRYSTAL 500ML S GAS PE", "SELF SERVICE  K'",2
21,0.00022323564116465223,"AGUA MINERAL INDAIA 500ML S GAS", "SELF SERVICE  K'",2
84,0.00012756322352265842,"CAJUINA ORGANICA TIJUCA LT 269ML", "SELF SERVICE  K'",2
96,0.0004783620882099691,"CEBOLINHA UND", "COENTRO UN'",2
121,0.00012756322352265842,"CERVEJA SKOL 350ML LATA", "SACO DE GELO EVEREST 3K'",2
131,0.00012756322352265842,"CHOC BIS 126G LAKA", "CHOC BIS LACTA TRAD 126G AO LEIT'",2
139,0.00022323564116465223,"CHOC QUENTE  GRANDE", "SELF SERVICE  CAFE DA MANHA K'",2
152,0.00012756322352265842,"CREME DE LEITE ITAMBE 200G TP", "LEITE COND BETANIA 395'",2
167,0.00012756322352265842,"FOCACCIA  KG", "REF COCA COLA COLOR 350M'",2
192,0.00012756322352265842,"LEITE AROMAT NESCAU PRONTINHO 200ML TRADICIONAL", "SALGADO FORNO BGM UN'",2
193,0.00019134483528398762,"LEITE AROMAT NESCAU PRONTINHO 200ML TRADICIONAL", "SALGADO FRITURA BGM UN'",2
194,0.00012756322352265842,"LEITE AROMAT NESCAU PRONTINHO 200ML TRADICIONAL", "SELF SERVICE  CAFE DA MANHA K'",2
197,0.00025512644704531683,"LEITE COND MOCA 395G LATA", "LEITE PO NINHO 800G SACHET INTEGRA'",2
230,0.00012756322352265842,"MINI BOLO DE ROLO DE PERNAMBUCO 60G", "SELF SERVICE  K'",2
233,0.00025512644704531683,"MORTADELA PERDIGAO KG FAT BOLOG OURO", "PAO CARIOCA FRANCES BGM K'",2
234,0.00012756322352265842,"MORTADELA PERDIGAO KG FAT BOLOG OURO", "QUEIJO COALHO SANTANA KG FA'",2
235,0.00015945402940332302,"MORTADELA PERDIGAO KG FAT BOLOG OURO", "QUEIJO MUSSARELA DIVERSOS KG FA'",2
248,0.00015945402940332302,"PAO BOLA PANNEMIX KG", "PAO CARIOCA PANNEMIX K'",2
250,0.00012756322352265842,"PAO CARIOCA FRANCES BGM KG", "PAO CARIOCA INTEGRAL BGM K'",2
251,0.0007972701470166151,"PAO CARIOCA FRANCES BGM KG", "PAO SOVADO BGM K'",2
252,0.00019134483528398762,"PAO CARIOCA FRANCES BGM KG", "PRESUNTO DE PERU SADIA KG FAT PCS'",2
