Ano,Mês,CODCEST,FAMILIA,QTDITEM,preço_medio
2019,julho,170281,QUEIJO MUSS TEMP TOMATE SECO KG,0,"R$30,00"
2018,julho,199900,DESODOR GLADE AUTO 7ML GRATIS AP,7,"R$19,89"
2018,agosto,199900,DESODOR GLADE AUTO 7ML GRATIS AP,6,"R$19,89"
2018,setembro,199900,DESODOR GLADE AUTO 7ML GRATIS AP,9,"R$19,89"
2018,outubro,199900,DESODOR GLADE AUTO 7ML GRATIS AP,4,"R$20,49"
2018,novembro,199900,DESODOR GLADE AUTO 7ML GRATIS AP,7,"R$20,49"
2018,dezembro,199900,DESODOR GLADE AUTO 7ML GRATIS AP,16,"R$20,60"
2019,janeiro,199900,DESODOR GLADE AUTO 7ML GRATIS AP,5,"R$21,01"
2019,fevereiro,199900,DESODOR GLADE AUTO 7ML GRATIS AP,8,"R$19,10"
2019,março,199900,DESODOR GLADE AUTO 7ML GRATIS AP,13,"R$21,31"
2019,abril,199900,DESODOR GLADE AUTO 7ML GRATIS AP,11,"R$22,29"
2019,maio,199900,DESODOR GLADE AUTO 7ML GRATIS AP,10,"R$22,29"
2019,junho,199900,DESODOR GLADE AUTO 7ML GRATIS AP,9,"R$22,09"
2019,julho,199900,DESODOR GLADE AUTO 7ML GRATIS AP,2,"R$22,29"
2018,julho,200100,APERITIVO CAMPARI 900ML,15,"R$36,45"
2018,julho,200100,APERITIVO MARTINI 750ML,15,"R$28,09"
2018,julho,200100,CATUABA ASA BRANCA 900ML,16,"R$5,68"
2018,julho,200100,CONHAQUE DREHER 900ML,7,"R$14,49"
2018,julho,200100,CONHAQUE SAO BRAZ 900ML,16,"R$5,29"
2018,julho,200100,CONHAQUE SEDUTOR 500ML,8,"R$6,89"
2018,julho,200100,CONHAQUE SEDUTOR 900ML,8,"R$12,59"
2018,julho,200100,RUM BACARDI 980ML BIG,2,"R$39,33"
2018,julho,200100,SIDRA FERM SAO BRAZ 660ML MACA,2,"R$9,99"
2018,julho,200100,TEQUILA EL JIMADOR 750ML,3,"R$105,90"
2018,julho,200100,VODKA BLUE SPIRIT 275ML ICE,54,"R$4,02"
2018,julho,200100,VODKA SMIRNOFF LATA ICE 269ML,40,"R$4,34"
2018,agosto,200100,APERITIVO CAMPARI 900ML,44,"R$36,45"
2018,agosto,200100,APERITIVO MARTINI 750ML,21,"R$28,09"
2018,agosto,200100,CATUABA ASA BRANCA 900ML,32,"R$5,68"
2018,agosto,200100,CONHAQUE DREHER 900ML,4,"R$14,49"
2018,agosto,200100,CONHAQUE SAO BRAZ 900ML,20,"R$5,29"
2018,agosto,200100,CONHAQUE SEDUTOR 500ML,29,"R$6,89"
2018,agosto,200100,CONHAQUE SEDUTOR 900ML,16,"R$12,59"
2018,agosto,200100,RUM BACARDI 980ML BIG,6,"R$39,33"
2018,agosto,200100,RUM BACARDI 980ML CARTA OURO,2,"R$42,70"
2018,agosto,200100,TEQUILA EL JIMADOR 750ML,1,"R$105,90"
2018,agosto,200100,VERMOUTH SCALAB 900ML,5,"R$9,99"
2018,agosto,200100,VODKA BLUE SPIRIT 275ML ICE,63,"R$4,02"
2018,agosto,200100,VODKA SMIRNOFF LATA ICE 269ML,161,"R$4,44"
2018,setembro,200100,APERITIVO CAMPARI 900ML,20,"R$36,45"
